"State","Year","Population"
"Alabama",1960,3266740
"Alabama",1969,3440000
"Alabama",1970,3444165
"Alabama",1971,3497452
"Alabama",1972,3540080
"Alabama",1973,3580769
"Alabama",1974,3627805
"Alabama",1975,3680533
"Alabama",1976,3737204
"Alabama",1977,3782736
"Alabama",1978,3834120
"Alabama",1979,3869444
"Alabama",1980,3893888
"Alabama",1981,3918533
"Alabama",1982,3925263
"Alabama",1983,3934100
"Alabama",1984,3951824
"Alabama",1985,3972520
"Alabama",1986,3991569
"Alabama",1987,4015262
"Alabama",1988,4023842
"Alabama",1989,4030219
"Alabama",1990,4040587
"Alabama",1991,4099156
"Alabama",1992,4154014
"Alabama",1993,4214202
"Alabama",1994,4260229
"Alabama",1995,4296800
"Alabama",1996,4331102
"Alabama",1997,4367935
"Alabama",1998,4404701
"Alabama",1999,4430141
"Alabama",2000,4447100
"Alabama",2001,4467634
"Alabama",2002,4480089
"Alabama",2003,4503491
"Alabama",2004,4530729
"Alabama",2005,4569805
"Alabama",2006,4628981
"Alabama",2007,4672840
"Alabama",2008,4718206
"Alabama",2009,4757938
"Alabama",2010,4779736
"Alabama",2011,4799642
"Alabama",2012,4816632
"Alabama",2013,4831586
"Alabama",2014,4843737
"Alabama",2015,4854803
"Alabama",2016,4866824
"Alabama",2017,4877989
"Alabama",2018,4891628
"Alabama",2019,4907965
"Alabama",2020,5024279
"Alaska",1960,226167
"Alaska",1969,296000
"Alaska",1970,300382
"Alaska",1971,316494
"Alaska",1972,326494
"Alaska",1973,333232
"Alaska",1974,344696
"Alaska",1975,370973
"Alaska",1976,393115
"Alaska",1977,397363
"Alaska",1978,402191
"Alaska",1979,403544
"Alaska",1980,401851
"Alaska",1981,418493
"Alaska",1982,449606
"Alaska",1983,488418
"Alaska",1984,513704
"Alaska",1985,532496
"Alaska",1986,544269
"Alaska",1987,539310
"Alaska",1988,541984
"Alaska",1989,547160
"Alaska",1990,550043
"Alaska",1991,570193
"Alaska",1992,588736
"Alaska",1993,599432
"Alaska",1994,603308
"Alaska",1995,604412
"Alaska",1996,608569
"Alaska",1997,612968
"Alaska",1998,619932
"Alaska",1999,624779
"Alaska",2000,626932
"Alaska",2001,633714
"Alaska",2002,642337
"Alaska",2003,648414
"Alaska",2004,659286
"Alaska",2005,666946
"Alaska",2006,675302
"Alaska",2007,680300
"Alaska",2008,687455
"Alaska",2009,698895
"Alaska",2010,710231
"Alaska",2011,722349
"Alaska",2012,730810
"Alaska",2013,737626
"Alaska",2014,737075
"Alaska",2015,738430
"Alaska",2016,742575
"Alaska",2017,740983
"Alaska",2018,736624
"Alaska",2019,733603
"Alaska",2020,733391
"Arizona",1960,1302161
"Arizona",1969,1737000
"Arizona",1970,1770900
"Arizona",1971,1896108
"Arizona",1972,2008847
"Arizona",1973,2125281
"Arizona",1974,2224342
"Arizona",1975,2286348
"Arizona",1976,2347976
"Arizona",1977,2427310
"Arizona",1978,2517852
"Arizona",1979,2638582
"Arizona",1980,2718215
"Arizona",1981,2810108
"Arizona",1982,2889860
"Arizona",1983,2968924
"Arizona",1984,3067134
"Arizona",1985,3183539
"Arizona",1986,3308261
"Arizona",1987,3437103
"Arizona",1988,3535183
"Arizona",1989,3622184
"Arizona",1990,3665228
"Arizona",1991,3788576
"Arizona",1992,3915740
"Arizona",1993,4065440
"Arizona",1994,4245089
"Arizona",1995,4432499
"Arizona",1996,4586940
"Arizona",1997,4736990
"Arizona",1998,4883342
"Arizona",1999,5023823
"Arizona",2000,5130632
"Arizona",2001,5273477
"Arizona",2002,5396255
"Arizona",2003,5510364
"Arizona",2004,5652404
"Arizona",2005,5839077
"Arizona",2006,6029141
"Arizona",2007,6167681
"Arizona",2008,6280362
"Arizona",2009,6343154
"Arizona",2010,6392017
"Arizona",2011,6473416
"Arizona",2012,6556344
