"year","state","state_po","candidate","candidatevotes","totalvotes","party_simplified","voteshare","winner"
1976,"ALABAMA","AL","CARTER, JIMMY",659170,1182850,"DEMOCRAT",0.557272688844739,1
1976,"ALABAMA","AL","FORD, GERALD",504070,1182850,"REPUBLICAN",0.426148708627468,0
1976,"ALASKA","AK","FORD, GERALD",71555,123574,"REPUBLICAN",0.579045753961189,1
1976,"ALASKA","AK","CARTER, JIMMY",44058,123574,"DEMOCRAT",0.356531309175069,0
1976,"ARIZONA","AZ","FORD, GERALD",418642,742719,"REPUBLICAN",0.563661357794805,1
1976,"ARIZONA","AZ","CARTER, JIMMY",295602,742719,"DEMOCRAT",0.397999781882515,0
1976,"ARKANSAS","AR","CARTER, JIMMY",498604,767535,"DEMOCRAT",0.649617281296618,1
1976,"ARKANSAS","AR","FORD, GERALD",267903,767535,"REPUBLICAN",0.349043366100569,0
1976,"CALIFORNIA","CA","FORD, GERALD",3882244,7803770,"REPUBLICAN",0.497483139559469,1
1976,"CALIFORNIA","CA","CARTER, JIMMY",3742284,7803770,"DEMOCRAT",0.479548218361125,0
1976,"COLORADO","CO","FORD, GERALD",584278,1081440,"REPUBLICAN",0.540277777777778,1
1976,"COLORADO","CO","CARTER, JIMMY",460801,1081440,"DEMOCRAT",0.426099459979287,0
1976,"CONNECTICUT","CT","FORD, GERALD",719261,1386355,"REPUBLICAN",0.518814445073592,1
1976,"CONNECTICUT","CT","CARTER, JIMMY",647895,1386355,"DEMOCRAT",0.467337009640388,0
1976,"DELAWARE","DE","CARTER, JIMMY",122461,235642,"DEMOCRAT",0.519690887023536,1
1976,"DELAWARE","DE","FORD, GERALD",109780,235642,"REPUBLICAN",0.465876202035291,0
1976,"DISTRICT OF COLUMBIA","DC","CARTER, JIMMY",137818,168830,"DEMOCRAT",0.816312266777232,1
1976,"DISTRICT OF COLUMBIA","DC","FORD, GERALD",27873,168830,"REPUBLICAN",0.165095066042765,0
1976,"FLORIDA","FL","CARTER, JIMMY",1636000,3150631,"DEMOCRAT",0.519261062307836,1
1976,"FLORIDA","FL","FORD, GERALD",1469531,3150631,"REPUBLICAN",0.46642434483759,0
1976,"GEORGIA","GA","CARTER, JIMMY",979409,1463152,"DEMOCRAT",0.669382948593174,1
1976,"GEORGIA","GA","FORD, GERALD",483743,1463152,"REPUBLICAN",0.330617051406826,0
1976,"HAWAII","HI","CARTER, JIMMY",147375,291301,"DEMOCRAT",0.505919993408879,1
1976,"HAWAII","HI","FORD, GERALD",140003,291301,"REPUBLICAN",0.480612836893797,0
1976,"IDAHO","ID","FORD, GERALD",204151,340932,"REPUBLICAN",0.59880269379231,1
1976,"IDAHO","ID","CARTER, JIMMY",126549,340932,"DEMOCRAT",0.371185456337334,0
1976,"ILLINOIS","IL","FORD, GERALD",2364269,4721282,"REPUBLICAN",0.50076843535294,1
1976,"ILLINOIS","IL","CARTER, JIMMY",2271295,4721282,"DEMOCRAT",0.481075902689142,0
1976,"INDIANA","IN","FORD, GERALD",1183958,2220362,"REPUBLICAN",0.533227464710709,1
1976,"INDIANA","IN","CARTER, JIMMY",1014714,2220362,"DEMOCRAT",0.457003857929473,0
1976,"IOWA","IA","FORD, GERALD",632864,1279303,"REPUBLICAN",0.494694376547229,1
1976,"IOWA","IA","CARTER, JIMMY",619931,1279303,"DEMOCRAT",0.484584965406944,0
1976,"KANSAS","KS","FORD, GERALD",502752,957845,"REPUBLICAN",0.524878242304339,1
1976,"KANSAS","KS","CARTER, JIMMY",430421,957845,"DEMOCRAT",0.449363936753859,0
1976,"KENTUCKY","KY","CARTER, JIMMY",615717,1167142,"DEMOCRAT",0.527542492687265,1
1976,"KENTUCKY","KY","FORD, GERALD",531852,1167142,"REPUBLICAN",0.455687482757025,0
1976,"LOUISIANA","LA","CARTER, JIMMY",661365,1277383,"DEMOCRAT",0.51774996222746,1
1976,"LOUISIANA","LA","FORD, GERALD",587446,1277383,"REPUBLICAN",0.459882431502533,0
1976,"MAINE","ME","FORD, GERALD",236320,482968,"REPUBLICAN",0.489307780225605,1
1976,"MAINE","ME","CARTER, JIMMY",232279,482968,"DEMOCRAT",0.480940766261947,0
1976,"MARYLAND","MD","CARTER, JIMMY",759612,1432273,"DEMOCRAT",0.530354199234364,1
1976,"MARYLAND","MD","FORD, GERALD",672661,1432273,"REPUBLICAN",0.469645800765636,0
1976,"MASSACHUSETTS","MA","CARTER, JIMMY",1429475,2547558,"DEMOCRAT",0.561115782251081,1
1976,"MASSACHUSETTS","MA","FORD, GERALD",1030276,2547558,"REPUBLICAN",0.404417092760989,0
1976,"MICHIGAN","MI","FORD, GERALD",1893742,3651590,"REPUBLICAN",0.518607510700818,1
1976,"MICHIGAN","MI","CARTER, JIMMY",1696714,3651590,"DEMOCRAT",0.464650741183977,0
1976,"MINNESOTA","MN","CARTER, JIMMY",1070440,1949931,"DEMOCRAT",0.548963014588721,1
1976,"MINNESOTA","MN","FORD, GERALD",819395,1949931,"REPUBLICAN",0.420217433334821,0
1976,"MISSISSIPPI","MS","CARTER, JIMMY",381329,768390,"DEMOCRAT",0.496270123244706,1
1976,"MISSISSIPPI","MS","FORD, GERALD",366846,768390,"REPUBLICAN",0.477421621832663,0
1976,"MISSOURI","MO","CARTER, JIMMY",998387,1953600,"DEMOCRAT",0.511049856674857,1
1976,"MISSOURI","MO","FORD, GERALD",927443,1953600,"REPUBLICAN",0.47473536036036,0
1976,"MONTANA","MT","FORD, GERALD",173703,328734,"REPUBLICAN",0.528399861286025,1
1976,"MONTANA","MT","CARTER, JIMMY",149259,328734,"DEMOCRAT",0.454041869718374,0
1976,"NEBRASKA","NE","FORD, GERALD",359219,606749,"REPUBLICAN",0.592038882635159,1
1976,"NEBRASKA","NE","CARTER, JIMMY",233293,606749,"DEMOCRAT",0.384496719401268,0
1976,"NEVADA","NV","FORD, GERALD",101273,201876,"REPUBLICAN",0.501659434504349,1
1976,"NEVADA","NV","CARTER, JIMMY",92479,201876,"DEMOCRAT",0.458098040381224,0
1976,"NEW HAMPSHIRE","NH","FORD, GERALD",185935,339627,"REPUBLICAN",0.547468251935211,1
1976,"NEW HAMPSHIRE","NH","CARTER, JIMMY",147645,339627,"DEMOCRAT",0.434726921004514,0
1976,"NEW JERSEY","NJ","FORD, GERALD",1509688,3014472,"REPUBLICAN",0.500813409446165,1
1976,"NEW JERSEY","NJ","CARTER, JIMMY",1444653,3014472,"DEMOCRAT",0.479239150338766,0
1976,"NEW MEXICO","NM","FORD, GERALD",211419,416590,"REPUBLICAN",0.507498979812285,1
1976,"NEW MEXICO","NM","CARTER, JIMMY",201148,416590,"DEMOCRAT",0.482844043303968,0
1976,"NEW YORK","NY","CARTER, JIMMY",3244165,6668262,"DEMOCRAT",0.486508328556976,1
